iter	RMSE
0	65.93051813
1	63.18303445
2	60.703018
3	58.40943326
4	56.31617095
5	54.41979411
6	52.67014271
7	51.1064932
8	49.64830703
9	48.31789416
10	47.09482167
11	46.03236745
12	45.00871531
13	44.11315238
14	43.28115423
15	42.54242388
16	41.9094125
17	41.31441981
18	40.76445768
19	40.26529567
20	39.84316238
21	39.45656929
22	39.1095251
23	38.80671812
24	38.513814
25	38.26455043
26	38.02115335
27	37.81153465
28	37.60117579
29	37.43601676
30	37.27182424
31	37.13453405
32	37.00624466
33	36.88936214
34	36.77111285
35	36.67155772
36	36.57037807
37	36.49139755
38	36.4176855
39	36.35047642
40	36.28891613
41	36.23829867
42	36.18296298
43	36.13602159
44	36.09338211
45	36.04715938
46	36.0133244
47	35.97550735
48	35.94108382
49	35.89971941
50	35.87640635
51	35.85524905
52	35.82787618
53	35.80580612
54	35.78499823
55	35.76452778
56	35.74565575
57	35.72562757
58	35.70773443
59	35.69582522
60	35.68035012
61	35.6644786
62	35.64985659
63	35.62472079
64	35.61065459
65	35.5934382
66	35.58194734
67	35.56498327
68	35.55095228
69	35.53958237
70	35.52959495
71	35.51713461
72	35.50680738
73	35.49425919
74	35.47672224
75	35.46629693
76	35.45467839
77	35.44353059
78	35.43283619
79	35.42168137
80	35.41422239
81	35.40416663
82	35.38686519
83	35.3727077
84	35.36684395
85	35.3566642
86	35.34626493
87	35.33463627
88	35.32136339
89	35.30900949
90	35.30279344
91	35.2946698
92	35.28989814
93	35.28680345
94	35.27939183
95	35.27110383
96	35.26477719
97	35.25762882
98	35.24119031
99	35.22641194
100	35.22020759
101	35.21524483
102	35.20805661
103	35.20029062
104	35.19094383
105	35.18276932
106	35.17811307
107	35.16957475
108	35.16488164
109	35.15634518
110	35.15049083
111	35.14050144
112	35.12896242
113	35.12465227
114	35.1173749
115	35.10899641
116	35.09567399
117	35.08686312
118	35.08178509
119	35.07518195
120	35.06650126
121	35.06288575
122	35.04819596
123	35.04034438
124	35.03295202
125	35.02396987
126	35.02013798
127	35.01344454
128	35.00983947
129	35.00308081
130	34.99018391
131	34.9832372
132	34.9721822
133	34.9566429
134	34.94426748
135	34.93285556
136	34.92079779
137	34.9130515
138	34.89542845
139	34.88902396
140	34.87945247
141	34.87275034
142	34.86766158
143	34.86512953
144	34.8583763
145	34.84655068
146	34.84084868
147	34.83039559
148	34.82580859
149	34.81747106
150	34.80920618
151	34.80492894
152	34.79702091
153	34.78879782
154	34.7720516
155	34.75852674
156	34.74586929
157	34.73120964
158	34.72153181
159	34.70761936
160	34.69692867
161	34.67903768
162	34.67102914
163	34.65594865
164	34.65091841
165	34.63878193
166	34.62379326
167	34.61799916
168	34.61334939
169	34.60466243
170	34.59595004
171	34.58751477
172	34.57582684
173	34.56266089
174	34.55020237
175	34.54114813
176	34.53565151
177	34.52692761
178	34.51531939
179	34.4985429
180	34.48465011
181	34.46369425
182	34.45228077
183	34.44415282
184	34.4373007
185	34.41811065
186	34.40026124
187	34.39023582
188	34.37716734
189	34.37113927
190	34.36036269
191	34.35011599
192	34.33304042
193	34.31857414
194	34.30486636
195	34.29182443
196	34.27930759
197	34.26872944
198	34.2599027
199	34.24989581
200	34.23444614
201	34.2263147
202	34.21160235
203	34.20552638
204	34.19635114
205	34.18300844
206	34.17522112
207	34.16454692
208	34.14897604
209	34.13544088
210	34.13064288
211	34.11784627
212	34.10639451
213	34.09905609
214	34.09373472
215	34.0894369
216	34.07572865
217	34.06726076
218	34.05972315
219	34.04609232
220	34.03907779
221	34.02132832
222	34.01183041
223	33.99837953
224	33.9915929
225	33.98302231
226	33.9751009
227	33.96442065
228	33.95144671
229	33.94169245
230	33.93528918
231	33.92474166
232	33.91517691
233	33.90656274
234	33.89790718
235	33.88569672
236	33.8748187
237	33.86085294
238	33.8572195
239	33.84693519
240	33.8368438
241	33.82598208
242	33.8140703
243	33.80271247
244	33.79471766
245	33.78385859
246	33.76735569
247	33.76030572
248	33.7520822
249	33.73905569
250	33.73253934
251	33.72355549
252	33.71681996
253	33.70899112
254	33.70381435
255	33.69488627
256	33.68971617
257	33.68320989
258	33.66855623
259	33.66120532
260	33.65233577
261	33.6368794
262	33.6251407
263	33.61884832
264	33.61065683
265	33.60459292
266	33.59594917
267	33.58427797
268	33.57629603
269	33.56694238
270	33.55948627
271	33.55053673
272	33.5418599
273	33.53330524
274	33.5235827
275	33.51542986
276	33.50101402
277	33.49460089
278	33.48474597
279	33.47419322
280	33.46552267
281	33.45170768
282	33.4396057
283	33.43240262
284	33.42628874
285	33.4181125
286	33.40866748
287	33.39980624
288	33.39337015
289	33.3878078
290	33.38274679
291	33.38014387
292	33.36981
293	33.36252795
294	33.3559344
295	33.34986182
296	33.34055671
297	33.33475931
298	33.32897736
299	33.31987405
300	33.30608951
301	33.29854692
302	33.2916163
303	33.28654905
304	33.27839361
305	33.27261073
306	33.26593809
307	33.25784721
308	33.24812428
309	33.23447288
310	33.22679037
311	33.22045421
312	33.21241171
313	33.19964742
314	33.18766017
315	33.18109456
316	33.17255336
317	33.16136393
318	33.15174383
319	33.14114404
320	33.13084497
321	33.12450501
322	33.11378628
323	33.10115408
324	33.09714828
325	33.09135141
326	33.08331471
327	33.0812291
328	33.07011924
329	33.06007177
330	33.05369952
331	33.04480461
332	33.04184271
333	33.0362233
334	33.02938348
335	33.02019262
336	33.01558638
337	33.01021746
338	33.00031079
339	32.99218344
340	32.97837524
341	32.97255037
342	32.96255145
343	32.9489611
344	32.93844609
345	32.93207783
346	32.92491756
347	32.91693417
348	32.90550341
349	32.89847386
350	32.89397835
351	32.88763499
352	32.88101366
353	32.87919341
354	32.86825637
355	32.85803126
356	32.84982237
357	32.84037161
358	32.83468783
359	32.82597158
360	32.81392633
361	32.80887388
362	32.79912368
363	32.79056521
364	32.77992263
365	32.76716263
366	32.76118116
367	32.75787813
368	32.7544791
369	32.74961531
370	32.74228938
371	32.72980953
372	32.72179293
373	32.7145163
374	32.70979445
375	32.69781097
376	32.68506133
377	32.66965632
378	32.65887685
379	32.64821355
380	32.64448042
381	32.63461821
382	32.62594495
383	32.61479317
384	32.60570311
385	32.5957673
386	32.58656414
387	32.58136518
388	32.57614392
389	32.56557195
390	32.5578653
391	32.5508117
392	32.54138526
393	32.53652305
